address/city,address/state,address/streetAddress,address/zipcode,bathrooms,bedrooms,datePriceChanged,daysOnZillow,favoriteCount,homeStatus,homeType,isNonOwnerOccupied,latitude,listing_sub_type/is_FSBA,listing_sub_type/is_FSBO,listing_sub_type/is_bankOwned,listing_sub_type/is_comingSoon,listing_sub_type/is_forAuction,listing_sub_type/is_foreclosure,listing_sub_type/is_newHome,listing_sub_type/is_openHouse,listing_sub_type/is_pending,livingArea,longitude,monthlyHoaFee,mortgageRates,mortgageRates/arm5Rate,mortgageRates/fifteenYearFixedRate,mortgageRates/thirtyYearFixedRate,pageViewCount,parentRegion,parentRegion/name,price,priceChange,propertyTaxRate,rentZestimate,restimateHighPercent,restimateLowPercent,taxAssessedValue,taxAssessedYear,timeOnZillow,url,yearBuilt,zestimate,zestimateHighPercent,zestimateLowPercent
Philadelphia,PA,416 S 15th St APT 3R,19146,1,2,,1,4,FOR_RENT,APARTMENT,FALSE,39.945145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1100,-75.167175,,,,,,352,,Rittenhouse,1995,,0.98,5339,29,46,,,1 day,https://www.zillow.com/homedetails/416-S-15th-St-APT-3R-Philadelphia-PA-19146/2101169489_zpid/,,698200,27,21
Philadelphia,PA,2529 S Dewey St,19142,1,3,,1,65,FOR_RENT,SINGLE_FAMILY,FALSE,39.925243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1024,-75.22457,,,,,,777,,Elmwood,1300,,0.98,1300,12,8,63800,2021,1 day,https://www.zillow.com/homedetails/2529-S-Dewey-St-Philadelphia-PA-19142/10402967_zpid/,1953,141500,13,15
Philadelphia,PA,1530 S 28th St,19146,1,3,,8,2,RECENTLY_SOLD,TOWNHOUSE,FALSE,39.934002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1246,-75.19132,,,4.591,3.941,4.602,89,,Grays Ferry,230000,,0.98,1366,7,7,78700,2021,8 days,https://www.zillow.com/homedetails/1530-S-28th-St-Philadelphia-PA-19146/10369787_zpid/,1925,235300,5,5
Philadelphia,PA,2138 Lombard St APT 2A,19146,2,2,,1,15,FOR_RENT,CONDO,FALSE,39.946083,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1200,-75.17802,,,,,,317,,Rittenhouse,3600,,0.98,2826,17,21,,,1 day,https://www.zillow.com/homedetails/2138-Lombard-St-APT-2A-Philadelphia-PA-19146/2083189461_zpid/,1900,,,
Philadelphia,PA,800 Glenview St,19111,1,3,,8,1,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,40.051807,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1638,-75.08488,,,4.591,3.941,4.602,127,,Oxford Circle,245000,,0.98,1500,5,13,179100,2021,8 days,https://www.zillow.com/homedetails/800-Glenview-St-Philadelphia-PA-19111/10494156_zpid/,1950,259200,9,10
Philadelphia,PA,6369 Sherman St,19144,,3,,8,0,RECENTLY_SOLD,MULTI_FAMILY,FALSE,40.03904,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1707,-75.18823,,,3.951,3.594,4.426,63,,Germantown West Central,315000,,0.98,1288,37,27,175300,2021,8 days,https://www.zillow.com/homedetails/6369-Sherman-St-Philadelphia-PA-19144/10539935_zpid/,1925,275100,5,5
Philadelphia,PA,1815 Spruce St APT 2B,19103,1,1,,1,56,FOR_RENT,TOWNHOUSE,FALSE,39.948036,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,700,-75.17175,,,,,,606,,Rittenhouse,1675,,0.98,1868,23,23,,,1 day,https://www.zillow.com/homedetails/1815-Spruce-St-APT-2B-Philadelphia-PA-19103/2089863394_zpid/,,350500,17,14
Philadelphia,PA,846 N 25th St,19130,5,5,,11,,RECENTLY_SOLD,MULTI_FAMILY,FALSE,39.97131,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3006,-75.17799,,,,,4.322,,,Fairmount,790000,,0.98,3552,29,46,506600,2021,,https://www.zillow.com/homedetails/846-N-25th-St-Philadelphia-PA-19130/10242625_zpid/,1920,801100,7,6
Philadelphia,PA,3190 Almond St,19134,1,2,,1,71,FOR_RENT,SINGLE_FAMILY,FALSE,39.985397,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,840,-75.10433,,,,,,695,,Richmond,1500,,0.98,1352,12,12,125900,2021,1 day,https://www.zillow.com/homedetails/3190-Almond-St-Philadelphia-PA-19134/10296674_zpid/,1920,210100,5,5
Philadelphia,PA,906 N 3rd St,19123,1,1,,1,4,FOR_RENT,CONDO,FALSE,39.965115,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,540,-75.14268,,,,,,207,,Northern Liberties,1650,,0.98,1550,14,10,,,1 day,https://www.zillow.com/homedetails/906-N-3rd-St-Philadelphia-PA-19123/2094262800_zpid/,2006,,,
